date,entropy
2025-04-14,1.0865958640371423
2025-04-13,1.7451081948834477
2025-04-12,1.735805801872813
2025-04-11,1.9537489492504565
2025-04-10,1.801349012933919
2025-04-09,1.9226254595260623
2025-04-08,1.7599908926391934
2025-04-07,1.8079609425154342
2025-04-06,1.7715128672795788
2025-04-05,1.7558318031279267
2025-04-04,1.901483431007766
2025-04-03,1.874123991756679
2025-04-02,1.9119310018114548
2025-04-01,1.865095478470773
2025-03-31,1.8421367729350542
2025-03-30,1.8299563839942667
2025-03-29,1.7438854800176837
2025-03-28,1.8001132219093212
2025-03-27,1.584578092647091
2025-03-26,0.0
2025-03-25,0.0
2025-03-24,0.0
2025-03-23,0.0
2025-03-22,0.0
2025-03-21,0.0
2025-03-20,0.0
2025-03-19,0.0
2025-03-18,0.0
2025-03-17,0.0
2025-03-16,0.0
2025-03-15,0.0
2025-03-14,0.0
2025-03-13,0.0
2025-03-12,0.0
