entity_name,dba_name,street_number,street_name,city,zip_code,county,borough,square_footage,location
MOON LIGHT 1 DELI CORP,MOON LIGHT 1 DELI,751,E GUN HILL RD,BRONX,10467,BRONX,Bronx,,
R ECHAVARRIA DELI & GROCERIES CORP,R ECHAVARRIA DELI & GROCERIES,1888,WALTON AVE,BRONX,10453,BRONX,Bronx,1700,
BARAKAH BAZAR LLC,BARAKAH BAZAR,731,BURKE AVE,BRONX,10467,BRONX,Bronx,,
SEA MART LLC,FORDHAM FRESH FISH,155,E 188TH ST,BRONX,10468,BRONX,Bronx,500,
235 FRESH BITES DELI CORP,235 FRESH BITES DELI,560,W 235TH ST,BRONX,10463,BRONX,Bronx,,
FRESH UP DELI AND GRILL CORP,FRESH UP DELI AND GRILL,3844,WHITE PLAINS RD,BRONX,10467,BRONX,Bronx,,
AMENAZEL HALAL MARKET INC,AMENAZEL HALAL MARKET,744,ALLERTON AVENUE,BRONX,10467,BRONX,Bronx,2100,
MI BODEGA DELI FOOD CORP,MI BODEGA DELI FOOD,663,ALLERTON AVE,BRONX,10467,BRONX,Bronx,1100,
NOOR DISCOUNT CONVENIENCE CORP,NOOR DISCOUNT CONVENIENCE,276,SAINT ANNS AVE,BRONX,10454,BRONX,Bronx,,
BOSTON RD GROCERY DELI & MORE CORP,BOSTON RD GROCERY DELI & MORE,1682,BOSTON ROAD,BRONX,10460,BRONX,Bronx,1100,
ORGANIC DELI 2 INC,ORGANIC DELI 2,550,TRINITY AVE,BRONX,10455,BRONX,Bronx,1200,
KABORE LLC,EASY STOP SHOP,1134,CASTLE AVENUE,BRONX,10462,BRONX,Bronx,400,
33 MART DELI CORP,MART 33 CONVENIENCE STORE,259,E 167TH ST  ####,BRONX,10456,BRONX,Bronx,1400,
CASA FRESH INC,CASA FRESH,720,E TREMONT AVE STORE B,BRONX,10457,BRONX,Bronx,1300,
844 MINI MARKET FISH AND FRIES INC,844 MINI MARKET FISH,844,HUNTS POINT AVE,BRONX,10474,BRONX,Bronx,,
A & A MARKET DELI & GROCERY CORP,A & A MARKET DELI & GROCERY,1513,WATSON AVE ##,BRONX,10472,BRONX,Bronx,1000,
D LORA CORP,D LORA,814,HEWITT PLACE,BRONX,10459,BRONX,Bronx,,
ORLANDO 7 CORP,ORLANDO 7,1190,CROMWELL AVENUE,BRONX,10452,BRONX,Bronx,900,
ROSEDALE 99 CENTS INC,ROSEDALE 99 CENTS,1741,LAFAYETTE AVE,BRONX,10473,BRONX,Bronx,,
MILA DELI & GROCERY CORP,MILA DELI & GROCERY,684,E 189 ST ####,BRONX,10458,BRONX,Bronx,,
TENTEN FOOD CORP,S&Y FISH & MEAT CARIBBEAN SUPERMARKET,4008,BOSTON RD,BRONX,10475,BRONX,Bronx,15000,
CONVENIENCE ON CONCOURSE INC,CONVENIENCE ON CONCOURSE,1398,GRAND CONCOURSE,BRONX,10456,BRONX,Bronx,900,
FERNANDEZ MARGARITA,MARGARITAS GROCERY STORE,926,INTERVALE AVE,BRONX,10459,BRONX,Bronx,1000,
PANADERIA MEXICANA GUADALUPANA CORP,PANADERIA MEXICANA GUADALUPANA,735,LYDIG AVE,BRONX,10462,BRONX,Bronx,1000,
MIM DELI & GROCERY INC,SUNDARBAN HALAL MEAT &,1404,UNIONPORT ROAD ####,BRONX,10462,BRONX,Bronx,1600,
GOLLO GROCERY STORE & DELI CORP,GOLLO GROCERY STORE & DELI,212,W KINGSBRIDGE RD ##,BRONX,10463,BRONX,Bronx,750,
