Language,Entropy_bits_per_char,Avg_Code_Length_bits_per_char,Difference_bits,Efficiency_percent,Unique_Characters,Total_Sentences,Avg_Bits_per_Sentence,Std_Bits_per_Sentence
English,4.503081088894393,4.54412,0.04103891110560731,99.09687879929211,90,950,464.0284210526316,396.436930980043
German,4.390302299867542,4.42495,0.034647700132458326,99.21699227940522,78,646,671.8173374613003,491.37794254918555
French,4.682826451355046,4.71296,0.030133548644953656,99.36062371323004,102,851,535.8131609870741,769.3995501648582
