Quarter,N_Stocks,N_Predicted_Outperformers,N_Predicted_Underperformers,Accuracy_Pct,Model_Portfolio_Return_Pct,SPY_Return_Pct,Alpha_vs_SPY_Pct,Beat_SPY
2025-Q2,387,172,215,49.61,6.3914,10.5687,-4.1773,False
2025-Q3,391,211,180,55.5,6.7373,7.7923,-1.055,False
2025-Q4,72,33,39,51.39,3.1537,2.3479,0.8057,True
