borough,entropy,normalized_pct,n_zips
Bronx,0.24229218908241482,12.11460945412074,25
Brooklyn,0.0,0.0,38
Manhattan,0.9333021800853448,46.665109004267244,55
Queens,0.6346460690416349,31.732303452081744,60
Staten Island,0.4138168503036338,20.69084251518169,12
