zip_code,borough,store_count,population,stores_per_10k,access_category
11361,Queens,22,30000,7.33,Abundant
11422,Queens,22,30000,7.33,Abundant
11694,Queens,21,30000,7.0,Abundant
11365,Queens,21,30000,7.0,Abundant
10038,Manhattan,21,30000,7.0,Abundant
10308,Staten Island,20,30000,6.67,Abundant
10471,Bronx,20,30000,6.67,Abundant
11414,Queens,20,30000,6.67,Abundant
10475,Bronx,20,30000,6.67,Abundant
11366,Queens,19,30000,6.33,Abundant
10037,Manhattan,17,30000,5.67,Abundant
11411,Queens,16,30000,5.33,Abundant
10007,Manhattan,16,30000,5.33,Abundant
11415,Queens,15,30000,5.0,Abundant
11004,Queens,15,30000,5.0,Abundant
11693,Queens,14,30000,4.67,Adequate
11427,Queens,13,30000,4.33,Adequate
11426,Queens,13,30000,4.33,Adequate
11362,Queens,13,30000,4.33,Adequate
11370,Queens,12,30000,4.0,Adequate
11364,Queens,12,30000,4.0,Adequate
11436,Queens,12,30000,4.0,Adequate
11239,Brooklyn,12,30000,4.0,Adequate
10075,Manhattan,12,30000,4.0,Adequate
10307,Staten Island,11,30000,3.67,Adequate
11692,Queens,8,30000,2.67,Limited
10005,Manhattan,5,30000,1.67,Limited
11360,Queens,5,30000,1.67,Limited
10044,Manhattan,5,30000,1.67,Limited
10004,Manhattan,4,30000,1.33,Limited
10280,Manhattan,4,30000,1.33,Limited
10119,Manhattan,4,30000,1.33,Limited
10006,Manhattan,4,30000,1.33,Limited
10020,Manhattan,3,30000,1.0,Limited
10281,Manhattan,3,30000,1.0,Limited
10464,Bronx,3,30000,1.0,Limited
11005,Queens,2,30000,0.67,Desert
11363,Queens,2,30000,0.67,Desert
10279,Manhattan,1,30000,0.33,Desert
10285,Manhattan,1,30000,0.33,Desert
10120,Manhattan,1,30000,0.33,Desert
10112,Manhattan,1,30000,0.33,Desert
10118,Manhattan,1,30000,0.33,Desert
10069,Manhattan,1,30000,0.33,Desert
10041,Manhattan,1,30000,0.33,Desert
10282,Manhattan,1,30000,0.33,Desert
10123,Manhattan,1,30000,0.33,Desert
10110,Manhattan,1,30000,0.33,Desert
11430,Queens,1,30000,0.33,Desert
11697,Queens,1,30000,0.33,Desert
