minute_of_day,hour,minute,entropy,n_observations
0,0,0,1.097780987108337,31
1,0,1,1.0300433912983409,31
2,0,2,0.9042326000115628,31
3,0,3,1.1589845212337104,31
4,0,4,1.1589845212337102,31
5,0,5,1.0331737299469321,31
6,0,6,1.156869339920509,31
7,0,7,1.0819672775704963,31
8,0,8,0.9655272622660829,31
9,0,9,1.1589845212337104,31
10,0,10,1.156869339920509,31
11,0,11,0.9655272622660829,31
12,0,12,1.0701171824542435,31
13,0,13,0.8346464646189742,31
14,0,14,1.285901597985025,31
15,0,15,1.386351347323835,31
16,0,16,1.0300433912983409,31
17,0,17,1.3134742745099717,31
18,0,18,0.9655272622660829,31
19,0,19,1.1589845212337102,31
20,0,20,1.447640684443725,31
21,0,21,1.3250566850693148,31
22,0,22,1.1865571977586569,31
23,0,23,1.285901597985025,31
24,0,24,1.097780987108337,31
25,0,25,0.991251399208437,31
26,0,26,1.097780987108337,31
27,0,27,1.186557197758657,31
28,0,28,1.2615503882378163,31
29,0,29,1.2733093552249222,31
30,0,30,0.7939924338116537,31
31,0,31,0.9930999387910295,31
32,0,32,1.186557197758657,31
33,0,33,0.9930999387910295,31
34,0,34,1.0819672775704963,31
35,0,35,1.0819672775704963,31
36,0,36,1.0818761494413496,31
37,0,37,0.9930999387910295,31
38,0,38,0.9912513992084369,31
39,0,39,0.9930999387910295,31
40,0,40,0.8585085628439117,31
41,0,41,0.9912513992084371,31
42,0,42,1.1221321968555455,31
43,0,43,0.7939924338116537,31
44,0,44,0.7939924338116537,31
45,0,45,0.9023840604289702,31
46,0,46,0.7538275145266042,31
47,0,47,1.097780987108337,31
48,0,48,0.8346464646189742,31
49,0,49,0.6373874992221911,31
50,0,50,0.9912513992084371,31
51,0,51,0.9510864799233876,31
52,0,52,1.186557197758657,31
53,0,53,1.2733093552249222,31
54,0,54,0.9930999387910295,31
55,0,55,1.2297464127343725,31
56,0,56,1.2733093552249222,31
57,0,57,0.8346464646189743,31
58,0,58,1.1865571977586569,31
59,0,59,1.3461864280387856,31
60,1,0,1.186557197758657,31
61,1,1,1.0300433912983409,31
62,1,2,0.965527262266083,31
63,1,3,1.2615503882378163,31
64,1,4,1.1589845212337102,31
65,1,5,1.313474274509972,31
66,1,6,1.156869339920509,31
67,1,7,0.965527262266083,31
68,1,8,1.0819672775704963,31
69,1,9,1.0300433912983409,31
70,1,10,1.156869339920509,31
71,1,11,1.1865571977586569,31
72,1,12,1.0701171824542435,31
73,1,13,1.2109084075058656,31
74,1,14,0.9655272622660829,31
75,1,15,1.4586444649084445,31
76,1,16,1.313474274509972,31
77,1,17,1.0300433912983409,31
78,1,18,1.2733093552249222,31
79,1,19,0.8865703508911296,31
80,1,20,0.7538275145266042,31
81,1,21,1.2733093552249222,31
82,1,22,1.3134742745099717,31
83,1,23,0.965527262266083,31
84,1,24,1.2615503882378163,31
85,1,25,1.0819672775704963,31
86,1,26,1.1865571977586569,31
87,1,27,1.0819672775704963,31
88,1,28,0.8865703508911296,31
89,1,29,0.965527262266083,31
90,1,30,1.1221321968555458,31
91,1,31,0.8346464646189742,31
92,1,32,1.1221321968555458,31
93,1,33,0.9930999387910295,31
94,1,34,0.991251399208437,31
95,1,35,0.9930999387910295,31
96,1,36,0.8346464646189742,31
97,1,37,0.9655272622660829,31
98,1,38,0.9042326000115628,31
99,1,39,1.3250566850693148,31
100,1,40,1.097780987108337,31
101,1,41,1.3494078948165236,31
102,1,42,0.9930999387910295,31
103,1,43,0.9930999387910295,31
104,1,44,0.9930999387910295,31
105,1,45,1.186557197758657,31
106,1,46,1.0819672775704963,31
107,1,47,1.097780987108337,31
108,1,48,0.9023840604289702,31
109,1,49,1.1221321968555458,31
110,1,50,1.2267221170437064,31
111,1,51,1.097780987108337,31
112,1,52,1.1589845212337104,31
113,1,53,1.2615503882378163,31
114,1,54,1.224606935730505,31
115,1,55,0.9042326000115628,31
116,1,56,1.097780987108337,31
117,1,57,1.1221321968555458,31
118,1,58,1.0819672775704963,31
119,1,59,1.2267221170437064,31
120,2,0,1.2615503882378163,31
121,2,1,1.2615503882378163,31
122,2,2,1.1357395969510384,31
123,2,3,1.0701171824542435,31
124,2,4,0.9655272622660829,31
125,2,5,0.965527262266083,31
126,2,6,1.156869339920509,31
127,2,7,1.3292879840478125,31
128,2,8,1.2733093552249222,31
129,2,9,1.2733093552249222,31
130,2,10,1.3292879840478125,31
131,2,11,1.0818761494413496,31
132,2,12,0.9930999387910295,31
