Participant,Average_Entropy,Std_Dev,Min,Max,Interpretation
FS1987,0.7859977780182824,0.8634575653636792,0.0,1.8998386801011233,Low variety (may indicate sedentary lifestyle)
FS2116,0.9909951071357666,0.904389093657692,0.0,1.9537489492504565,Moderate variety (some balance)
