borough,zip_codes,entropy_bits,normalized_pct,dominant_category,dominant_pct
Manhattan,55,1.3570582407828986,67.85291203914493,Abundant,65.45454545454545
Queens,60,1.0616045875543154,53.08022937771577,Abundant,78.33333333333333
Staten Island,12,0.4138168503036338,20.69084251518169,Abundant,91.66666666666666
Bronx,25,0.24229218908241482,12.11460945412074,Abundant,96.0
Brooklyn,38,0.17556502585750278,8.778251292875138,Abundant,97.36842105263158
