date,sp500_ret
2010-02-28,0.031194599790142163
2010-03-31,0.05652854285168396
2010-04-30,0.019652095295340954
2010-05-31,-0.07945430725401126
2010-06-30,-0.05623133224224042
2010-07-31,0.07338339195499377
2010-08-31,-0.04498039966894363
2010-09-30,0.08375261642051601
2010-10-31,0.043760199843205116
2010-11-30,0.0
2010-12-31,0.06127095205382571
2011-01-31,0.02868167104891839
2011-02-28,0.0347375800685803
2011-03-31,-0.004205924781091053
2011-04-30,0.03343117962136288
2011-05-31,-0.011214220029485134
2011-06-30,-0.021719800016902657
2011-07-31,-0.015145902159080626
2011-08-31,-0.05497589085844479
2011-09-30,-0.07421058127043079
2011-10-31,0.11488537101891794
2011-11-30,-0.004063427674348974
2011-12-31,0.004080006485614129
2012-01-31,0.05301109604159815
2012-02-29,0.043405220133793776
2012-03-31,0.027660687653795035
2012-04-30,-0.0023227015820609376
2012-05-31,-0.06005574604946218
2012-06-30,0.03521722008348083
2012-07-31,0.01707206219221491
2012-08-31,0.02505288069450251
2012-09-30,0.019906222907744242
2012-10-31,-0.012957282660130187
2012-11-30,0.005659589647833085
2012-12-31,0.00182911529556673
2013-01-31,0.05864573560438879
2013-02-28,0.012759201485093463
2013-03-31,0.03337513014495652
2013-04-30,0.023745193758835992
2013-05-31,0.023609718327656237
2013-06-30,-0.018537526397508053
2013-07-31,0.05724124175365808
2013-08-31,-0.02999226130269983
2013-09-30,0.02664219113529742
2013-10-31,0.05140704395771856
2013-11-30,0.029637562092543313
2013-12-31,0.02038678000760097
2014-01-31,-0.030010560934197295
2014-02-28,0.04551560337217597
2014-03-31,0.003864975924572134
2014-04-30,0.01139589262886731
2014-05-31,0.023206378292748964
2014-06-30,0.015777535995054937
2014-07-31,-0.008710312610311077
2014-08-31,0.039463266795976004
2014-09-30,-0.018384586178953333
2014-10-31,0.028335600440862585
2014-11-30,0.027471765232258694
2014-12-31,-0.008011606228735646
2015-01-31,-0.024273549851177023
2015-02-28,0.05620485407573517
2015-03-31,-0.020079832676224374
2015-04-30,0.014341210542659244
2015-05-31,0.012856270447877849
2015-06-30,-0.02505455519122679
2015-07-31,0.02756350820599751
2015-08-31,-0.060950325427540974
2015-09-30,-0.030555510407023867
2015-10-31,0.09070017709784173
2015-11-30,0.003655460570214819
2015-12-31,-0.02309648791366614
2016-01-31,-0.044131568063484616
2016-02-29,-0.0008255728337612789
2016-03-31,0.06178920994393522
2016-04-30,0.009119346809590034
2016-05-31,0.01701165005510874
2016-06-30,-0.0017156499197722441
2016-07-31,0.04186118251575377
2016-08-31,0.0011976801838406992
2016-09-30,-0.004968281852801071
2016-10-31,-0.012373271849431156
2016-11-30,0.036838552365926036
2016-12-31,0.014293124157530368
2017-01-31,0.02389449279198219
2017-02-28,0.03929154542954838
2017-03-31,-0.0030871293030797498
2017-04-30,0.01431984467524039
2017-05-31,0.014112951357417636
2017-06-30,0.0014908114124656535
2017-07-31,0.025531302972650494
2017-08-31,0.0029175416606910254
2017-09-30,0.015111672126067122
2017-10-31,0.028643958989843732
2017-11-30,0.030565803357665233
2017-12-31,0.006980405642422749
2018-01-31,0.06175915994890713
2018-02-28,-0.03636040045478939
2018-03-31,-0.03129034518470508
2018-04-30,0.009193985201950916
2018-05-31,0.024309015374652798
2018-06-30,0.001255169888311869
2018-07-31,0.04170297396733136
2018-08-31,0.03191992415977407
2018-09-30,0.001412094678556075
2018-10-31,-0.06489012628373048
2018-11-30,0.01854908412671996
2018-12-31,-0.09334289040198107
2019-01-31,0.08637291926374258
2019-02-28,0.03241559548229067
2019-03-31,0.013636310079826908
2019-04-30,0.0454366797525223
2019-05-31,-0.06377128733143167
2019-06-30,0.06440973455041266
2019-07-31,0.020056448542416616
2019-08-31,-0.016743391768640037
2019-09-30,0.0147715958462602
2019-10-31,0.026824902179163335
2019-11-30,0.03619806829610872
2019-12-31,0.024021167275027233
2020-01-31,0.004510516057420588
2020-02-29,-0.0791654656754549
2020-03-31,-0.12998745109585086
2020-04-30,0.13361065468503686
2020-05-31,0.04764533951468808
2020-06-30,0.01327520370334212
2020-07-31,0.06355191160346618
2020-08-31,0.0697966993159671
2020-09-30,-0.04128153803034296
2020-10-31,-0.021030323595522482
2020-11-30,0.10877669307787152
2020-12-31,0.03264682318604595
2021-01-31,-0.005971255309952017
2021-02-28,0.027805565577667446
2021-03-31,0.04198642364762639
2021-04-30,0.056359053606609644
2021-05-31,0.006565939751301375
2021-06-30,0.019093490355940324
2021-07-31,0.02776392352452195
