minute_of_day,entropy,hour,minute
0,1.097780987108337,0,0
1,1.0300433912983409,0,1
2,0.9042326000115628,0,2
3,1.1589845212337102,0,3
4,1.1589845212337102,0,4
5,1.0331737299469321,0,5
6,1.156869339920509,0,6
7,1.0819672775704963,0,7
8,0.9655272622660829,0,8
9,1.1589845212337102,0,9
10,1.156869339920509,0,10
11,0.9655272622660829,0,11
12,1.0701171824542435,0,12
13,0.8346464646189742,0,13
14,1.285901597985025,0,14
15,1.386351347323835,0,15
16,1.0300433912983409,0,16
17,1.3134742745099717,0,17
18,0.9655272622660829,0,18
19,1.1589845212337102,0,19
20,1.447640684443725,0,20
21,1.3250566850693148,0,21
22,1.186557197758657,0,22
23,1.285901597985025,0,23
24,1.097780987108337,0,24
25,0.9912513992084369,0,25
26,1.097780987108337,0,26
27,1.186557197758657,0,27
28,1.2615503882378163,0,28
29,1.2733093552249222,0,29
30,0.7939924338116537,0,30
31,0.9930999387910295,0,31
32,1.186557197758657,0,32
33,0.9930999387910295,0,33
34,1.0819672775704963,0,34
35,1.0819672775704963,0,35
36,1.0818761494413496,0,36
37,0.9930999387910295,0,37
38,0.9912513992084369,0,38
39,0.9930999387910295,0,39
40,0.8585085628439117,0,40
41,0.9912513992084369,0,41
42,1.1221321968555455,0,42
43,0.7939924338116537,0,43
44,0.7939924338116537,0,44
45,0.9023840604289702,0,45
46,0.7538275145266042,0,46
47,1.097780987108337,0,47
48,0.8346464646189742,0,48
49,0.6373874992221911,0,49
50,0.9912513992084369,0,50
51,0.9510864799233876,0,51
52,1.186557197758657,0,52
53,1.2733093552249222,0,53
54,0.9930999387910295,0,54
55,1.2297464127343725,0,55
56,1.2733093552249222,0,56
57,0.8346464646189742,0,57
58,1.186557197758657,0,58
59,1.3461864280387856,0,59
60,1.186557197758657,1,0
61,1.0300433912983409,1,1
62,0.9655272622660829,1,2
63,1.2615503882378163,1,3
64,1.1589845212337102,1,4
65,1.3134742745099717,1,5
66,1.156869339920509,1,6
67,0.9655272622660829,1,7
68,1.0819672775704963,1,8
69,1.0300433912983409,1,9
70,1.156869339920509,1,10
71,1.186557197758657,1,11
72,1.0701171824542435,1,12
73,1.2109084075058656,1,13
74,0.9655272622660829,1,14
75,1.4586444649084445,1,15
76,1.3134742745099717,1,16
77,1.0300433912983409,1,17
78,1.2733093552249222,1,18
79,0.8865703508911296,1,19
80,0.7538275145266042,1,20
81,1.2733093552249222,1,21
82,1.3134742745099717,1,22
83,0.9655272622660829,1,23
84,1.2615503882378163,1,24
85,1.0819672775704963,1,25
86,1.186557197758657,1,26
87,1.0819672775704963,1,27
88,0.8865703508911296,1,28
89,0.9655272622660829,1,29
90,1.1221321968555455,1,30
91,0.8346464646189742,1,31
92,1.1221321968555455,1,32
93,0.9930999387910295,1,33
94,0.9912513992084369,1,34
95,0.9930999387910295,1,35
96,0.8346464646189742,1,36
97,0.9655272622660829,1,37
98,0.9042326000115628,1,38
99,1.3250566850693148,1,39
100,1.097780987108337,1,40
101,1.3494078948165236,1,41
102,0.9930999387910295,1,42
103,0.9930999387910295,1,43
104,0.9930999387910295,1,44
105,1.186557197758657,1,45
106,1.0819672775704963,1,46
107,1.097780987108337,1,47
108,0.9023840604289702,1,48
109,1.1221321968555455,1,49
110,1.2267221170437064,1,50
111,1.097780987108337,1,51
112,1.1589845212337102,1,52
113,1.2615503882378163,1,53
114,1.224606935730505,1,54
115,0.9042326000115628,1,55
116,1.097780987108337,1,56
117,1.1221321968555455,1,57
118,1.0819672775704963,1,58
119,1.2267221170437064,1,59
120,1.2615503882378163,2,0
121,1.2615503882378163,2,1
122,1.1357395969510384,2,2
123,1.0701171824542435,2,3
124,0.9655272622660829,2,4
125,0.9655272622660829,2,5
126,1.156869339920509,2,6
127,1.3292879840478125,2,7
128,1.2733093552249222,2,8
129,1.2733093552249222,2,9
130,1.3292879840478125,2,10
131,1.0818761494413496,2,11
132,0.9930999387910295,2,12
133,0.9930999387910295,2,13
134,1.186557197758657,2,14
135,1.0818761494413496,2,15
136,0.9930999387910295,2,16
137,1.3134742745099717,2,17
138,1.186557197758657,2,18
139,0.9930999387910295,2,19
140,1.1221321968555455,2,20
141,1.1589845212337102,2,21
142,1.0819672775704963,2,22
143,1.2267221170437064,2,23
144,0.9655272622660829,2,24
145,0.9930999387910295,2,25
146,1.0701171824542435,2,26
147,0.9930999387910295,2,27
148,0.7939924338116537,2,28
149,1.0819672775704963,2,29
150,1.0331737299469321,2,30
151,0.9655272622660829,2,31
152,0.8865703508911296,2,32
153,1.1589845212337102,2,33
154,1.224606935730505,2,34
155,1.1589845212337102,2,35
156,1.1221321968555455,2,36
157,0.9655272622660829,2,37
158,0.9912513992084369,2,38
159,0.9655272622660829,2,39
160,1.0300433912983409,2,40
161,0.9912513992084369,2,41
162,0.7483265504380476,2,42
163,0.659459211658581,2,43
164,0.9510864799233876,2,44
165,0.6838104214057896,2,45
166,0.8828597725911205,2,46
167,0.7939924338116537,2,47
168,0.8585085628439117,2,48
169,0.7483265504380476,2,49
170,0.612069284012265,2,50
171,0.7483265504380476,2,51
172,0.8828597725911205,2,52
173,0.7483265504380476,2,53
174,0.6838104214057896,2,54
175,0.547553154980007,2,55
176,0.9912513992084369,2,56
177,0.547553154980007,2,57
178,0.547553154980007,2,58
179,0.8585085628439117,2,59
180,0.659459211658581,3,0
181,0.8585085628439117,3,1
182,0.659459211658581,3,2
183,0.547553154980007,3,3
184,0.7483265504380476,3,4
185,0.7483265504380476,3,5
186,0.9912513992084369,3,6
187,0.8585085628439117,3,7
188,0.659459211658581,3,8
189,0.6838104214057896,3,9
190,0.6838104214057896,3,10
191,0.7483265504380476,3,11
192,0.547553154980007,3,12
193,0.7483265504380476,3,13
194,0.8585085628439117,3,14
195,0.547553154980007,3,15
196,0.659459211658581,3,16
197,0.547553154980007,3,17
198,0.7538275145266042,3,18
199,0.4586858162005403,3,19
200,0.659459211658581,3,20
201,0.7483265504380476,3,21
202,0.7939924338116537,3,22
203,0.7483265504380476,3,23
204,0.6838104214057896,3,24
205,0.6838104214057896,3,25
206,0.4586858162005403,3,26
207,0.345117314944953,3,27
208,0.4586858162005403,3,28
209,0.4586858162005403,3,29
210,0.409633443977211,3,30
211,0.547553154980007,3,31
212,0.409633443977211,3,32
213,0.345117314944953,3,33
214,0.4586858162005403,3,34
215,0.345117314944953,3,35
216,0.205592508185083,3,36
217,0.205592508185083,3,37
218,0.345117314944953,3,38
219,0.409633443977211,3,39
220,0.409633443977211,3,40
221,0.547553154980007,3,41
222,0.547553154980007,3,42
223,0.7483265504380476,3,43
224,0.659459211658581,3,44
225,0.8828597725911205,3,45
226,0.7483265504380476,3,46
